hour,electricity_price
0,1933
1,344
2,-577
3,604
4,2730
5,-765
6,1365
7,-751
8,-153
9,-326
10,2020
11,2548
12,1160
13,592
14,1630
15,2726
16,2614
17,1456
18,1659
19,392
20,1612
21,-933
22,-548
23,2732
24,1480
25,655
26,1457
27,1345
28,2496
29,752
30,1854
31,477
32,-596
33,2640
34,1490
35,2710
36,-796
37,1254
38,2080
39,-819
40,976
41,1478
42,-805
43,757
44,1090
45,2610
46,772
47,2295
48,-261
49,-361
50,2325
51,1887
52,2816
53,2776
54,2248
55,65
56,-241
57,2744
58,1595
59,-820
60,1122
61,1917
62,1937
63,885
64,-589
65,1278
66,1069
67,604
68,460
69,97
70,43
71,2016
72,-432
73,-2
74,1169
75,-25
76,-298
77,1779
78,726
79,2347
80,1274
81,1756
82,798
83,-451
84,1463
85,-873
86,1410
87,-143
88,2145
89,2567
90,907
91,2133
92,-624
93,-19
94,1217
95,2340
96,1623
97,-408
98,-664
99,-802
100,1544
101,2238
102,718
103,-77
104,-4
105,167
106,2851
107,-264
108,1827
109,-359
110,2880
111,2256
112,1355
113,-118
114,2078
115,-30
116,-339
117,2556
118,-477
119,1674
120,838
121,2698
122,-289
123,758
124,-798
125,1082
126,-948
127,-20
128,-170
129,953
130,1511
131,2554
132,2443
133,1118
134,-333
135,-766
136,1098
137,1567
138,-324
139,1167
140,1099
141,2772
142,83
143,2295
144,1889
145,2525
146,471
147,2979
148,2338
149,-11
150,2068
151,-652
152,816
153,10
154,1336
155,1154
156,1856
157,-40
158,634
159,2210
160,596
161,2328
162,-61
163,-527
164,-692
165,1107
166,1188
167,1681
168,-755
169,-556
170,2990
171,1102
172,2831
173,1179
174,2078
175,163
176,2743
177,1446
178,1565
179,-400
180,1387
181,1776
182,-670
183,-412
184,-813
185,434
186,1833
187,1667
188,2422
189,940
190,1861
191,1501
192,-279
193,-176
194,-40
195,1686
196,1581
197,2791
198,1419
199,2706
200,1318
201,715
202,1715
203,-872
204,528
205,-784
206,1574
207,746
208,1067
209,407
210,1937
211,113
212,2855
213,2345
214,450
215,2991
216,2332
217,515
218,1936
219,825
220,2858
221,112
222,1588
223,797
224,-869
225,2438
226,1522
227,1144
228,1763
229,2384
230,-366
231,2192
232,187
233,1860
234,-978
235,674
236,240
237,-452
238,573
239,2628
240,2582
241,-780
242,1082
243,-240
244,695
245,-560
246,2946
247,139
248,1267
249,1747
250,722
251,-828
252,-125
253,452
254,1413
255,606
256,2227
257,-539
258,-164
259,1195
260,2517
261,2877
262,802
263,1726
264,-102
265,56
266,-323
267,244
268,2044
269,2529
270,780
271,293
272,1631
273,1024
274,2177
275,1072
276,1198
277,1334
278,972
279,867
280,1989
281,594
282,266
283,1248
284,438
285,-475
286,1041
287,1479
288,1810
289,1901
290,1160
291,156
292,1853
293,313
294,2501
295,1635
296,2536
297,2188
298,948
299,1725
300,1218
301,2085
302,-740
303,2072
304,1165
305,-743
306,2525
307,-963
308,-846
309,1134
310,842
311,-318
312,276
313,643
314,1109
315,1710
316,1341
317,926
318,1859
319,2703
320,-164
321,1617
322,1194
323,191
324,1338
325,795
326,-21
327,1009
328,2260
329,61
330,2474
331,143
332,1416
333,460
334,489
335,282
336,788
337,2331
338,191
339,1046
340,-872
341,-552
342,1824
343,653
344,2913
345,2362
346,1797
347,-665
348,-288
349,1683
350,2593
351,1950
352,1516
353,394
354,2562
355,2540
356,1796
357,855
358,2240
359,42
360,2244
361,1806
362,2267
363,1282
364,2557
365,1141
366,-442
367,-463
368,2017
369,2504
370,-749
371,413
372,52
373,754
374,2840
375,1135
376,-28
377,841
378,-212
379,2752
380,493
381,2421
382,1490
383,-536
384,2077
385,1741
386,-543
387,-223
388,-655
389,2438
390,1744
391,-950
392,298
393,1172
394,1223
395,1795
396,2186
397,1185
398,417
399,2470
400,2944
401,523
402,-540
403,362
404,-155
405,1385
406,2000
407,306
408,2102
409,978
410,158
411,2645
412,1680
413,-123
414,-372
415,106
416,2459
417,2478
418,2939
419,892
420,1597
421,-905
422,1034
423,2161
424,2863
425,2845
426,2574
427,2164
428,1894
429,-960
430,498
431,1054
432,947
433,2799
434,1601
435,2846
436,816
437,-421
438,1381
439,2709
440,-289
441,-684
442,223
443,1168
444,683
445,-855
446,1210
447,484
448,-184
449,2121
450,1960
451,833
452,2254
453,2905
454,1518
455,832
456,-487
457,-28
458,1961
459,2268
460,-564
461,2407
462,1515
463,-118
464,956
465,-507
466,-110
467,1538
468,-890
469,2355
470,2334
471,2093
472,2052
473,-939
474,521
475,-40
476,1626
477,2044
478,2966
479,2201
480,-523
481,1156
482,343
483,-9
484,-935
485,1026
486,-396
487,503
488,2046
489,2513
490,527
491,142
492,1639
493,-459
494,-556
495,1468
496,510
497,1743
498,1239
499,-357
500,1454
501,972
502,913
503,127
504,-706
505,2196
506,-341
507,430
508,919
509,423
510,-546
511,2116
512,571
513,-828
514,1279
515,323
516,1921
517,451
518,651
519,1235
520,-837
521,2321
522,869
523,595
524,-811
525,1371
526,-349
527,1418
528,2022
529,2067
530,-894
531,-405
532,-602
533,-162
534,1226
535,2059
536,2637
537,-625
538,-281
539,971
540,-227
541,-350
542,2413
543,-897
544,-70
545,2019
546,2054
547,1839
548,498
549,2358
550,-384
551,2724
552,992
553,-31
554,1995
555,2250
556,1819
557,1397
558,-870
559,81
560,2519
561,2946
562,152
563,1602
564,1092
565,1136
566,2061
567,-385
568,-836
569,816
570,2818
571,2879
572,412
573,-249
574,2525
575,157
576,1534
577,1751
578,578
579,773
580,1125
581,2359
582,575
583,793
584,2456
585,768
586,2467
587,947
588,2698
589,10
590,1958
591,-192
592,2882
593,2707
594,1655
595,570
596,1242
597,2312
598,2640
599,-410
600,1544
601,-880
602,861
603,1744
604,-648
605,1145
606,2703
607,-895
608,1648
609,-181
610,-666
611,-46
612,206
613,963
614,2351
615,2970
616,1468
617,-128
618,484
619,2233
620,346
621,2670
622,-921
623,1013
624,2251
625,2228
626,-580
627,-911
628,590
629,2658
630,-128
631,1155
632,-863
633,547
634,74
635,1460
636,2420
637,-944
638,1405
639,-15
640,2884
641,1450
642,1496
643,1422
644,2996
645,1079
646,-23
647,1534
648,749
649,-274
650,2173
651,79
652,-901
653,2589
654,-796
655,1578
656,2573
657,1987
658,1887
659,991
660,1854
661,2282
662,1940
663,2319
664,1295
665,2729
666,407
667,415
668,600
669,2973
670,1729
671,1086
672,2439
673,2328
674,1574
675,2633
676,1809
677,1807
678,-441
679,-868
680,2048
681,862
682,341
683,112
684,1959
685,645
686,1057
687,2089
688,2997
689,2945
690,2799
691,2235
692,2747
693,937
694,-375
695,240
696,2796
697,-135
698,2539
699,2075
700,1304
701,347
702,1363
703,-654
704,2672
705,1034
706,1248
707,2489
708,1764
709,-455
710,586
711,2946
712,2561
713,1169
714,2703
715,-591
716,1962
717,349
718,2075
719,452
720,538
