hour,electricity_price
0,1721
1,1952
2,80
3,25
4,2766
5,900
6,-436
7,277
8,-915
9,570
10,-162
11,2007
12,1637
13,-463
14,2947
15,1421
16,902
17,1124
18,926
19,94
20,-320
21,-768
22,1196
23,2927
24,355
25,1595
26,1497
27,2097
28,1774
29,1922
30,-517
31,1415
32,-995
33,-642
34,-480
35,1530
36,-288
37,-378
38,-610
39,2538
40,2634
41,-44
42,2740
43,2554
44,432
45,-858
46,2906
47,-913
48,2266
49,2672
50,-995
51,1763
52,762
53,226
54,2927
55,-417
56,1026
57,10
58,1943
59,1124
60,1719
61,2127
62,1336
63,362
64,2230
65,-429
66,-169
67,-703
68,808
69,738
70,-132
71,2112
72,-831
73,2379
74,1257
75,2139
76,1730
77,-908
78,913
79,2498
80,1778
81,-425
82,2103
83,1190
84,-6
85,1939
86,2439
87,-183
88,2300
89,1758
90,363
91,850
92,-417
93,1444
94,720
95,2740
96,1095
97,760
98,1408
99,-55
100,2273
101,-402
102,2605
103,1746
104,2490
105,447
106,1299
107,2394
108,1581
109,494
110,2430
111,233
112,-713
113,2012
114,2404
115,649
116,162
117,-827
118,922
119,2938
120,530
121,-920
122,2352
123,59
124,2157
125,576
126,2172
127,1462
128,794
129,-102
130,1228
131,2946
132,650
133,1758
134,1232
135,-5
136,-329
137,1310
138,2246
139,-63
140,1622
141,846
142,2664
143,174
144,1894
145,1005
146,384
147,2866
148,2216
149,-886
150,1726
151,-941
152,1585
153,1901
154,1814
155,583
156,442
157,-167
158,-995
159,1775
160,2937
161,2852
162,1446
163,-806
164,-733
165,-877
166,512
167,-436
168,2665
169,-541
170,1540
171,427
172,1375
173,2412
174,2441
175,1621
176,1766
177,-429
178,1592
179,1065
180,787
181,-792
182,1927
183,-325
184,-600
185,746
186,1440
187,-907
188,1622
189,-673
190,2563
191,-747
192,92
193,-97
194,971
195,2871
196,467
197,2376
198,2233
199,2516
200,1904
201,2370
202,105
203,2738
204,-102
205,1282
206,-754
207,1262
208,-213
209,1902
210,-455
211,1508
212,704
213,2178
214,1980
215,1831
216,-813
217,340
218,929
219,826
220,1262
221,1742
222,732
223,2728
224,425
225,1144
226,1173
227,2603
228,2525
229,2703
230,1880
231,1354
232,-302
233,-913
234,1097
235,904
236,-555
237,2041
238,647
239,-530
240,920
241,2563
242,89
243,43
244,-810
245,529
246,2502
247,1867
248,2252
249,273
250,-265
251,581
252,2379
253,2887
254,-277
255,1649
256,-122
257,-417
258,2875
259,1744
260,-509
261,1453
262,1286
263,2971
264,1633
265,1190
266,-224
267,912
268,2712
269,2324
270,1760
271,313
272,264
273,-996
274,2483
275,2248
276,1874
277,-46
278,-655
279,2267
280,2827
281,1704
282,1755
283,2468
284,-822
285,973
286,653
287,-165
288,332
289,778
290,2273
291,2027
292,-882
293,-192
294,2772
295,262
296,1201
297,2589
298,-806
299,219
300,1488
301,1211
302,1876
303,1438
304,-807
305,253
306,-775
307,307
308,2057
309,2532
310,-887
311,1621
312,-533
313,1409
314,1629
315,2153
316,-48
317,116
318,1135
319,1991
320,1032
321,-391
322,273
323,1743
324,2857
325,-284
326,2193
327,2677
328,-936
329,1725
330,2908
331,1368
332,17
333,2508
334,1009
335,2620
336,-406
337,-146
338,-819
339,1825
340,-489
341,1964
342,-584
343,2377
344,2261
345,1774
346,1498
347,-680
348,2779
349,2825
350,1450
351,2213
352,-391
353,1113
354,1159
355,2169
356,-176
357,2233
358,-128
359,1734
360,513
361,962
362,-984
363,1068
364,2392
365,2314
366,702
367,-354
368,2116
369,533
370,1008
371,-586
372,1620
373,-988
374,1630
375,1340
376,2145
377,1755
378,-554
379,2757
380,-752
381,-535
382,-550
383,1159
384,386
385,-789
386,-792
387,-502
388,2460
389,1528
390,505
391,1162
392,206
393,2840
394,49
395,2605
396,241
397,1466
398,956
399,-285
400,-991
401,2167
402,2226
403,-320
404,1786
405,87
406,2590
407,528
408,1378
409,2780
410,1841
411,633
412,690
413,915
414,1110
415,2531
416,131
417,1522
418,247
419,987
420,2730
421,832
422,1459
423,2656
424,2684
425,2010
426,2159
427,802
428,999
429,-419
430,-589
431,1475
432,539
433,1456
434,237
435,92
436,1733
437,1949
438,2542
439,-879
440,567
441,2412
442,2946
443,2255
444,-900
445,-821
446,1547
447,2715
448,368
449,-692
450,2938
451,1956
452,194
453,846
454,2697
455,453
456,-553
457,-738
458,191
459,1175
460,688
461,2533
462,979
463,221
464,-626
465,239
466,416
467,432
468,2196
469,2605
470,-583
471,1307
472,2833
473,1999
474,-978
475,2671
476,1904
477,1870
478,1535
479,2286
480,602
481,2075
482,2513
483,2146
484,2824
485,1068
486,-351
487,-961
488,508
489,276
490,1147
491,553
492,-992
493,-185
494,-82
495,740
496,2840
497,2528
498,2704
499,1256
500,1769
501,1073
502,797
503,535
504,-929
505,763
506,1457
507,2756
508,1958
509,779
510,1816
511,999
512,1860
513,2305
514,1573
515,-970
516,1252
517,2636
518,2356
519,-608
520,1558
521,1082
522,1251
523,2240
524,1327
525,851
526,-300
527,835
528,1370
529,2193
530,544
531,234
532,2451
533,1234
534,1437
535,-247
536,1293
537,2370
538,117
539,-291
540,958
541,2993
542,687
543,969
544,520
545,276
546,884
547,807
548,2589
549,106
550,2267
551,848
552,2507
553,-37
554,2558
555,2911
556,60
557,-637
558,2008
559,1407
560,1993
561,2359
562,1953
563,2704
564,-403
565,26
566,738
567,1926
568,2662
569,2079
570,927
571,1805
572,2239
573,1910
574,-765
575,745
576,1434
577,388
578,-999
579,2570
580,1050
581,-474
582,1389
583,-71
584,819
585,-923
586,1641
587,-693
588,-61
589,983
590,-431
591,2229
592,1423
593,935
594,1743
595,-374
596,-664
597,1022
598,1518
599,1292
600,2964
601,-37
602,-90
603,-145
604,2472
605,2492
606,-492
607,2614
608,2716
609,159
610,-519
611,2603
612,300
613,744
614,2201
615,-726
616,2875
617,2228
618,1547
619,-475
620,2464
621,2903
622,1419
623,-210
624,259
625,2242
626,767
627,-906
628,1982
629,2535
630,746
631,2152
632,2419
633,2909
634,1385
635,-391
636,-362
637,2279
638,2568
639,2504
640,24
641,76
642,2949
643,2310
644,2894
645,2532
646,942
647,985
648,2444
649,-495
650,2947
651,1955
652,-786
653,1588
654,1752
655,-564
656,-436
657,2998
658,-70
659,1089
660,1416
661,1272
662,-434
663,1168
664,335
665,278
666,196
667,1423
668,2183
669,1160
670,1793
671,1496
672,1145
673,2551
674,2240
675,2341
676,1207
677,-264
678,2750
679,-1
680,2096
681,1271
682,1262
683,478
684,1494
685,2654
686,2627
687,964
688,-11
689,2071
690,-30
691,2624
692,452
693,833
694,831
695,843
696,-387
697,2145
698,2274
699,2018
700,-241
701,2932
702,-770
703,-278
704,1577
705,2657
706,74
707,-175
708,2522
709,-738
710,1486
711,1328
712,69
713,2088
714,-857
715,-981
716,1629
717,-185
718,2179
719,-578
720,-813
721,1046
722,1870
723,1985
724,192
725,-190
726,2074
727,2034
728,-282
729,1967
730,1567
731,2663
732,-929
733,2211
734,2446
735,1921
736,316
737,1122
738,1115
739,2860
740,-66
741,2570
742,1846
743,1247
744,2557
745,2507
746,1095
747,-99
748,336
749,-727
750,2623
751,-154
752,2994
753,209
754,-553
755,-96
756,-121
757,2292
758,1267
759,824
760,-398
761,2049
762,1772
763,1684
764,2013
765,1444
766,-725
767,2373
768,2666
769,-518
770,2106
771,2083
772,2096
773,1850
774,1846
775,1312
776,2220
777,1599
778,-968
779,2924
780,96
781,2065
782,2030
783,1836
784,1557
785,2130
