hour,electricity_price
0,1226
1,710
2,2946
3,-790
4,885
5,1164
6,821
7,-506
8,828
9,-131
10,-358
11,-844
12,2754
13,-499
14,1830
15,1076
16,-87
17,169
18,-16
19,530
20,1625
21,2602
22,2732
23,832
24,-658
25,501
26,-119
27,642
28,1196
29,1670
30,-343
31,1557
32,2371
33,-802
34,715
35,-346
36,1884
37,341
38,-198
39,273
40,-369
41,1126
42,-602
43,871
44,2953
45,1056
46,-917
47,2402
48,134
49,77
50,1316
51,263
52,1850
53,346
54,2523
55,-174
56,1731
57,1772
58,2958
59,-69
60,-785
61,1001
62,1047
63,-478
64,-274
65,-360
66,2833
67,-230
68,63
69,1844
70,1653
71,568
72,2
73,-882
74,2252
75,2826
76,-705
77,1542
78,2072
79,2023
80,87
81,2551
82,423
83,2939
84,-390
85,-672
86,2129
87,388
88,-682
89,198
90,2308
91,2878
92,2927
93,1186
94,224
95,1310
96,886
97,328
98,915
99,2186
100,-117
101,1122
102,-839
103,2799
104,-537
105,1413
106,2051
107,157
108,1446
109,-625
110,1745
111,2266
112,516
113,-749
114,2984
115,2129
116,-930
117,1621
118,-302
119,-395
120,1049
121,2157
122,-863
123,1058
124,1305
125,-97
126,-727
127,2730
128,-736
129,2319
130,2166
131,-844
132,995
133,-335
134,215
135,627
136,190
137,-952
138,2789
139,1896
140,238
141,810
142,-417
143,-841
144,868
145,-50
146,-950
147,2193
148,388
149,-451
150,1524
151,69
152,1329
153,2841
154,2939
155,-294
156,-139
157,2814
158,-83
159,2157
160,-909
161,1536
162,1221
163,2487
164,759
165,1655
166,541
167,437
168,1344
169,2618
170,2260
171,-382
172,1468
173,399
174,-306
175,1985
176,1054
177,1986
178,683
179,-698
180,1857
181,-978
182,101
183,596
184,1266
185,2416
186,2238
187,1497
188,-389
189,1485
190,-503
191,2852
192,1035
193,1284
194,-505
195,2642
196,2501
197,2719
198,2405
199,1576
200,557
201,-974
202,1194
203,1867
204,-928
205,-407
206,149
207,2902
208,-190
209,517
210,881
211,1470
212,1882
213,1742
214,1444
215,1650
216,-645
217,1316
218,1987
219,2252
220,-606
221,2520
222,1831
223,-955
224,2120
225,1253
226,-3
227,1273
228,-140
229,383
230,2690
231,-745
232,-860
233,-812
234,1477
235,1628
236,-812
237,331
238,2249
239,1190
240,2890
241,-659
242,-446
243,906
244,1147
245,956
246,271
247,-689
248,-246
249,1317
250,-194
251,-148
252,-916
253,-888
254,2665
255,819
256,-158
257,2908
258,-360
259,241
260,1995
261,1076
262,2834
263,804
264,888
265,1118
266,392
267,3
268,-77
269,1622
270,1031
271,2049
272,646
273,1560
274,-776
275,2158
276,2166
277,-512
278,2584
279,1525
280,910
281,2600
282,1883
283,-38
284,1838
285,221
286,-756
287,-312
288,2715
289,2972
290,-378
291,-846
292,212
293,-378
294,1357
295,1852
296,-573
297,-39
298,1233
299,2006
300,433
301,2
302,653
303,279
304,2937
305,1838
306,2296
307,12
308,-136
